id,title,salary_from,salary_to,currency,town,experience,info,firm_name,url,platform
55,Middle Full Stack QA инженер (МТС еСпортс),,,,Москва,От 3 до 6 лет,"Требования: Аналогичный опыт работы от 3-х лет. Уверенное знание Python, Pytest. Знание методологий разработки ПО, жизненного цикла ПО и теории... Ответственность: Работать с Postman/Swagger, работать с Chrome Dev Tools. Работать с реляционными бд, написание запросов средней сложности (Join, функции агрегирования...",МТС,https://hh.ru/vacancy/85369700,HeadHunter
56,DevOps-инженер,120000,,rub,Москва,От 1 года до 3 лет,"Требования: Знания Unix систем, умение работы в терминале, TCP\IP. У нас распределенная команда, и большая часть общения проходит асинхронно.  Ответственность: Планирование и развертывание сервисов на любых средах (dev/test/stage/prod), взаимодействие с разработчиками по вопросам развертывания. Выявление/разбор инцидентов...",ДИВАН.РУ,https://hh.ru/vacancy/84623781,HeadHunter
57,Dev&Ops инженер,,,,Москва,От 3 до 6 лет,"Требования: Система автоматического конфигурирования Ansible. Платформы виртуализации OpenStack, VMWare vCloud. Знание СУБД: PostgreSQL. Опыт использования скриптовых языков: bash и/или python.  Ответственность: Администрировать ВМ под управлением ОС, совместимых с RHEL. Администрировать кластера Kubernetes и ВМ, развернутые в AWS и в частных облаках. ",Киберлэндинг,https://hh.ru/vacancy/83351183,HeadHunter
58,Devops Team lead,,,,Москва,От 3 до 6 лет,"Требования: Опыт руководства инфраструктурной и/или DevOps командой не менее 2-х лет. Экспертное знание ОС, сред, инструментов DevOps/DevSecOps на... Ответственность: Создавать и поддерживать конфигурации развертывания dev, stage и prod окружений. Администрировать системное и прикладное ПО окружений (управление обновлениями, настройками, восстановление...",Анлимитед Продакшен,https://hh.ru/vacancy/84495351,HeadHunter
59,QA Lead Engineer Automation,,,,Москва,Более 6 лет,Требования: Понимание современных трендов в тестировании продуктов. Практический опыт на Python. Опыт подготовки тестового окружения и конфигурации тестовых данных для тестирования... Ответственность: Организация автоматизированного тестирования. Анализ и планирование задач по автоматизации тестирования. Поддержка актуальности и проведение review кода разработанных автотестов. ,CoMagic.dev,https://hh.ru/vacancy/83958164,HeadHunter
60,"QA / Автотестировщик (Python, Selenium / Selenide)",200000,300000,rub,Москва,От 1 года до 3 лет,"Требования: Знание принципов построения архитектуры web-приложений, понимание html, dom, rest api, browser dev tools. Опыт работы с разными СУБД, знание... Ответственность: Разработка тестов с использованием Selenium, Selenide, Python, Pytest, TestNG. Составление сценариев тестирования. Внедрение автоматического тестирования. Составление отчетности по результатам выполнения...",Мамаева Ирина Анатольевна,https://hh.ru/vacancy/84726186,HeadHunter
61,SRE Engineer,,,,Москва,От 1 года до 3 лет,"Требования: Хорошие знания по использованию/написанию pipeline в gitlab-ci (или аналогов: TeamCity, Jenkins и пр.). Python|Go|Bash - приветствуется.  Ответственность: Предоставлять разовые услуги по имплементации мониторинга ИС, сбору метрик и нотификаций. Обеспечивать надежность и бесперебойность информационных систем. Выполнять мероприятия по...",Почтатех,https://hh.ru/vacancy/85942036,HeadHunter
62,SRE инженер (Business Platforms),,,,Москва,От 3 до 6 лет,"Требования: Знание .NET, .NET Core, ASP.NET Core (с опытом работы в Dev-командах). Знание Ansible. Опыт работы с k8s... Ответственность: WebOffice - это платформа виртуальных рабочих мест сотрудников, представляет собой семейство web-приложений, написанных, в основном, на .NET. Использует много модулей...",Тинькофф,https://hh.ru/vacancy/84186875,HeadHunter
63,SRE / DevOps engineer,200000,300000,rub,Москва,От 3 до 6 лет,"Требования: Ansible плейбуки и роли. Механизмы контейнеризации. Принципы виртуализации и vmware. Сети на уровне не ниже CCNA. Ответственность: Администрирования Hadoop Stack'a. Работы с grafana, prometheus, victoriametrics, alertmanager, kafka, graylog, clickhouse, postgresql, linstore, minio. Написания bash и python...",Платформа ОФД,https://hh.ru/vacancy/85106107,HeadHunter
64,Системный администратор Linux,,,,Москва,От 3 до 6 лет,"Требования: Опыт работы с Git. Опыт разработки на скриптовых языках bash/python/powershell. Опыт работы с: JVM (OpenJDK или JVM IBM).  Ответственность: Администрирование компонентов (серверов) из состава действующих (сопровождаемых) систем. Разработка скриптов, автоматизирующих существующие и проектируемые решения. Проработка/Разработка интеграционных решений с...",ЛАНИТ,https://hh.ru/vacancy/85759562,HeadHunter
